time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,child_count,child_percent,rate_per_100
202526,Autumn term,National,E92000001,England,,,,,,Total,Total,34700,100,0.4000000
202526,Autumn term,National,E92000001,England,,,,,,Sex,Female,15700,45,x
202526,Autumn term,National,E92000001,England,,,,,,Sex,Male,18500,53,x
202526,Autumn term,National,E92000001,England,,,,,,Sex,Unknown,400,1,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Reception,700,2,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 1,2500,7,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 2,2100,6,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 3,2200,6,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 4,2200,6,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 5,2200,6,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 6,2300,7,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 7,3700,11,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 8,3600,10,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 9,4000,11,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 10,4500,13,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Year 11,4300,12,x
202526,Autumn term,National,E92000001,England,,,,,,Year group,Unknown,400,1,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,Less than 2 weeks,4900,14,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,2 to 4 weeks,5800,17,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,4 to 8 weeks,3400,10,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,8 to 12 weeks,3200,9,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,12 to 26 weeks,5000,14,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,26 to 52 weeks,4000,12,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,Over 52 weeks,5600,16,x
202526,Autumn term,National,E92000001,England,,,,,,Duration,Unknown,2700,8,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Moved in from another local authority,2900,8,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Moved in from another country,800,2,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,School application awaiting outcome,4300,13,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Offered school place but not yet accepted,1200,3,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Waiting school start,1600,5,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Did not get school preference,900,3,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Unsuitable elective home education,3200,9,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Difficulty accessing suitable school place,900,3,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,School dissatisfaction general,low,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,School dissatisfaction SEND,100,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Mental health,low,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Physical health,low,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Parental decision not to register at school,100,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Did not apply for school place at compulsory school age,100,low,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Challenging school attendance order,300,1,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Believed to have moved to another local authority,2600,8,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Believed to have moved to another country,3400,10,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Unknown,5300,16,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Not recorded,2300,7,x
202526,Autumn term,National,E92000001,England,,,,,,Reason,Other,4500,13,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Total,Total,800,100,0.2000000
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Sex,Female,400,51,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Sex,Male,390,49,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Sex,Unknown,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Reception,20,2,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 1,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 2,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 3,50,6,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 4,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 5,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 6,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 7,60,8,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 8,110,14,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 9,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 10,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Year 11,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Year group,Unknown,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,Less than 2 weeks,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,2 to 4 weeks,170,21,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,4 to 8 weeks,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,8 to 12 weeks,130,16,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,12 to 26 weeks,110,14,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,26 to 52 weeks,60,8,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,Over 52 weeks,80,9,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,Unknown,10,2,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Moved in from another local authority,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Moved in from another country,20,2,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,School application awaiting outcome,210,27,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Offered school place but not yet accepted,20,3,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Waiting school start,90,11,x
